时间,日期,总业务量
2019/12/9,16:30,1600711
2019/12/9,17:00,1588373
2019/12/9,17:30,1445868
2019/12/9,18:00,1534447
2019/12/9,18:30,1550405
2019/12/9,19:00,1553886
2019/12/9,19:30,1580532
2019/12/9,20:00,1578424
2019/12/9,20:30,1522955
2019/12/9,21:00,1442399
2019/12/9,21:30,1399332
2019/12/9,22:00,1327331
2019/12/9,22:30,1172168
2019/12/9,23:00,987830
2019/12/9,23:30,756454
2019/12/10,0:00,611643
2019/12/10,0:30,435277
2019/12/10,1:00,312972
2019/12/10,1:30,243494
2019/12/10,2:00,201472
2019/12/10,2:30,171103
2019/12/10,3:00,158744
2019/12/10,3:30,154386
2019/12/10,4:00,161307
2019/12/10,4:30,180681
2019/12/10,5:00,236574
2019/12/10,5:30,329867
2019/12/10,6:00,495404
2019/12/10,6:30,680263
2019/12/10,7:00,912657
2019/12/10,7:30,988661
2019/12/10,8:00,1172711
2019/12/10,8:30,1290257
2019/12/10,9:00,1460210
2019/12/10,9:30,1528069
2019/12/10,10:00,1668168
2019/12/10,10:30,1715823
2019/12/10,11:00,1734213
2019/12/10,11:30,1692294
2019/12/10,12:00,1702610
2019/12/10,12:30,1716952
2019/12/10,13:00,1561355
2019/12/10,13:30,1491016
2019/12/10,14:00,1540802
2019/12/10,14:30,1546182
2019/12/10,15:00,1566484
2019/12/10,15:30,1518426
2019/12/10,16:00,1493988
2019/12/10,16:30,1477561
2019/12/10,17:00,1468300
2019/12/10,17:30,1455716
2019/12/10,18:00,1432143
2019/12/10,18:30,1526901
2019/12/10,19:00,1532490
2019/12/10,19:30,1517966
2019/12/10,20:00,1530884
2019/12/10,20:30,1529331
2019/12/10,21:00,1436478
2019/12/10,21:30,1439072
2019/12/10,22:00,1373615
2019/12/10,22:30,1191655
2019/12/10,23:00,836133
2019/12/10,23:30,629089
2019/12/11,0:00,547154
2019/12/11,0:30,392563
2019/12/11,1:00,288751
2019/12/11,1:30,220417
2019/12/11,2:00,183779
2019/12/11,2:30,163844
2019/12/11,3:00,157271
2019/12/11,3:30,147238
2019/12/11,4:00,156521
2019/12/11,4:30,176209
2019/12/11,5:00,234395
2019/12/11,5:30,323811
2019/12/11,6:00,486060
2019/12/11,6:30,673491
2019/12/11,7:00,882161
2019/12/11,7:30,974996
2019/12/11,8:00,1143570
2019/12/11,8:30,1285547
2019/12/11,9:00,1524904
2019/12/11,9:30,1554061
2019/12/11,10:00,1754192
2019/12/11,10:30,1770557
2019/12/11,11:00,1778608
2019/12/11,11:30,1752467
2019/12/11,12:00,1663655
2019/12/11,12:30,1650265
2019/12/11,13:00,1460947
2019/12/11,13:30,1366709
2019/12/11,14:00,1320397
