   ,,日期,时间,业务量
316,,20191107,1330,39546
317,,20191107,1400,39020
318,,20191107,1430,38201
319,,20191107,1500,37597
320,,20191107,1530,33524
321,,20191107,1600,35816
322,,20191107,1630,33209
323,,20191107,1700,38762
324,,20191107,1730,41483
325,,20191107,1800,42234
326,,20191107,1830,44683
327,,20191107,1900,45921
328,,20191107,1930,42876
329,,20191107,2000,45680
330,,20191107,2030,43973
331,,20191107,2100,47168
332,,20191107,2130,43066
333,,20191107,2200,36531
334,,20191107,2230,32917
335,,20191107,2300,20868
336,,20191107,2330,16660
337,,20191108,0,14956
338,,20191108,30,9893
339,,20191108,100,7277
340,,20191108,130,5625
341,,20191108,200,4724
342,,20191108,230,3812
343,,20191108,300,3430
344,,20191108,330,3046
345,,20191108,400,3114
346,,20191108,430,3250
347,,20191108,500,3749
348,,20191108,530,5088
349,,20191108,600,9179
350,,20191108,630,14686
351,,20191108,700,30357
352,,20191108,730,35362
353,,20191108,800,55624
354,,20191108,830,54383
355,,20191108,900,52227
356,,20191108,930,49897
357,,20191108,1000,44204
358,,20191108,1030,47896
359,,20191108,1100,48511
360,,20191108,1130,45569
361,,20191108,1200,53065
362,,20191108,1230,49751
363,,20191108,1300,43831
364,,20191108,1330,38016
365,,20191108,1400,33885
366,,20191108,1430,36038
367,,20191108,1500,37477
368,,20191108,1530,35865
369,,20191108,1600,38723
370,,20191108,1630,39476
371,,20191108,1700,44734
372,,20191108,1730,45069
373,,20191108,1800,47595
374,,20191108,1830,50665
375,,20191108,1900,48999
376,,20191108,1930,50552
377,,20191108,2000,49067
378,,20191108,2030,49749
379,,20191108,2100,48572
380,,20191108,2130,46690
381,,20191108,2200,45436
382,,20191108,2230,44640
383,,20191108,2300,38740
384,,20191108,2330,33484
385,,20191109,0,34201
386,,20191109,30,22691
387,,20191109,100,15785
388,,20191109,130,12108
389,,20191109,200,9797
390,,20191109,230,7297
391,,20191109,300,6374
392,,20191109,330,5696
393,,20191109,400,5976
394,,20191109,430,5615
395,,20191109,500,6737
396,,20191109,530,9086
397,,20191109,600,15122
398,,20191109,630,23861
399,,20191109,700,35460
400,,20191109,730,37771
401,,20191109,800,47165
402,,20191109,830,52051
403,,20191109,900,53644
404,,20191109,930,56384
405,,20191109,1000,56033
406,,20191109,1030,55063
407,,20191109,1100,55028
408,,20191109,1130,54816
409,,20191109,1200,53950
410,,20191109,1230,54413
411,,20191109,1300,51526
412,,20191109,1330,49077
413,,20191109,1400,43985
414,,20191109,1430,44610
415,,20191109,1500,41532
416,,20191109,1530,41260
417,,20191109,1600,41691
418,,20191109,1630,41451
419,,20191109,1700,44164
420,,20191109,1730,46127
421,,20191109,1800,47903
422,,20191109,1830,47978
423,,20191109,1900,54235
424,,20191109,1930,52096
425,,20191109,2000,69668
426,,20191109,2030,51815
427,,20191109,2100,53191
428,,20191109,2130,50963
429,,20191109,2200,49285
430,,20191109,2230,45009
431,,20191109,2300,38457
432,,20191109,2330,33075
433,,20191110,0,34735
434,,20191110,30,22417
